,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Nepal","Data source","Other alcoholic beverages","0"
"Netherlands","Data source","All types","8.34"
"Netherlands","Data source","Beer","4.00"
"Netherlands","Data source","Wine","2.94"
"Netherlands","Data source","Spirits","1.41"
"Netherlands","Data source","Other alcoholic beverages","0"
"New Zealand","Data source","All types","9.12"
"New Zealand","Data source","Beer","3.39"
"New Zealand","Data source","Wine","2.94"
"New Zealand","Data source","Spirits","1.56"
"New Zealand","Data source","Other alcoholic beverages","1.23"
"Nicaragua","Data source","All types","3.81"
"Nicaragua","Data source","Beer","1.61"
"Nicaragua","Data source","Wine","0.02"
"Nicaragua","Data source","Spirits","2.18"
"Nicaragua","Data source","Other alcoholic beverages","0.00"
"Niger","Data source","All types","0.13"
"Niger","Data source","Beer","0.04"
"Niger","Data source","Wine","0.02"
"Niger","Data source","Spirits","0.07"
"Niger","Data source","Other alcoholic beverages","0.00"
"Nigeria","Data source","All types","7.79"
"Nigeria","Data source","Beer","0.73"
"Nigeria","Data source","Wine","0.04"
"Nigeria","Data source","Spirits","0.06"
"Nigeria","Data source","Other alcoholic beverages","6.96"
"Niue","Data source","All types","9.11"
"Niue","Data source","Beer","4.60"
"Niue","Data source","Wine","2.01"
"Niue","Data source","Spirits","2.50"
"Niue","Data source","Other alcoholic beverages","0"
"Norway","Data source","All types","6.02"
"Norway","Data source","Beer","2.66"
"Norway","Data source","Wine","2.20"
"Norway","Data source","Spirits","0.97"
"Norway","Data source","Other alcoholic beverages","0.19"
"Oman","Data source","All types","0.40"
"Oman","Data source","Beer","0.16"
"Oman","Data source","Wine","0.02"
"Oman","Data source","Spirits","0.21"
"Oman","Data source","Other alcoholic beverages","0.01"
"Pakistan","Data source","All types","0.05"
"Pakistan","Data source","Beer","0.00"
"Pakistan","Data source","Wine","0.00"
"Pakistan","Data source","Spirits","0.04"
"Pakistan","Data source","Other alcoholic beverages","0.00"
"Panama","Data source","All types","6.92"
"Panama","Data source","Beer","5.42"
"Panama","Data source","Wine","0.25"
"Panama","Data source","Spirits","1.24"
"Panama","Data source","Other alcoholic beverages","0.02"
"Papua New Guinea","Data source","All types","0.80"
"Papua New Guinea","Data source","Beer","0.69"
"Papua New Guinea","Data source","Wine","0.06"
"Papua New Guinea","Data source","Spirits","0.05"
"Papua New Guinea","Data source","Other alcoholic beverages","0"
"Paraguay","Data source","All types","6.02"
"Paraguay","Data source","Beer","3.24"
"Paraguay","Data source","Wine","1.10"
